Étiquettes de lignes;Nombre de Marque;Min. de Prix;Max. de Prix2
Piaget Emperador;35;1599;189844
Union Glashütte 1893 Regulator;2;1599;1700
Chopard Imperiale;455;1600;189849
IWC Portofino;51;1600;31828
Patek Philippe;475;1600;2503052
Ulysse Nardin San Marco;45;1600;50300
Davosa Ladies' Delight;7;1611;1611
Hanhart Primus;14;1625;9437
Oris Staghorn Restoration Limited Edition;3;1626;2233
Breitling Colt Chronograph Automatic;29;1627;4757
Oris Artelier Pointer Day Date;5;1629;2127
Eberhard & Co. Gilda;11;1636;5439
Bremont ALT1-P Pilot;4;1642;4441
Oris Aquis GMT Date;60;1644;3364
Sevenfriday M2-2;5;1646;2047
Michele Sport Sail;3;1647;2206
Breitling Aeromarine;3;1648;2446
JeanRichard 1681;5;1648;3629
JeanRichard Aeroscope;1;1649;1649
Corum Coin Watch;46;1650;16746
Dior VIII;77;1650;39000
Sinn U1;33;1650;4968
Breitling Colt GMT;19;1651;4243
Chronoswiss Lunar;23;1657;13960
Oris Carlos Coste Limited Edition;8;1658;3350
Union Glashütte Viro Chronograph;12;1662;2600
NOMOS Ludwig Automatik;10;1663;2860
Ball for BMW;2;1670;4466
Auricoste;7;1670;5576
Rolex Oyster Perpetual 26;218;1670;11493
Meistersinger Granmatik;2;1674;3095
Oris Artelier Chronograph;4;1674;2764
Bertolucci;6;1675;9032
Eterna Madison;2;1675;2580
Meistersinger Adhaesio;2;1675;1985
NOMOS Club Neomatik;63;1675;3671
Perrelet Eve;2;1680;2513
Sothis;5;1680;5950
Oris Aquis Depth Gauge;34;1684;4579
Breitling Superocean II 36;9;1693;3568
Omega De Ville Co-Axial;238;1695;27273
Union Glashütte 1893 Small Second;3;1699;1890
Breitling Duograph;44;1700;24700
Bell & Ross BR 02;15;1700;6699
Eberhard & Co. Chrono 4;91;1700;10721
IWC Ingenieur Chronograph;51;1700;19215
Jaeger-LeCoultre Reverso Squadra Lady;19;1700;10619
Omega Memomatic;23;1700;5209
Zenith Defy El Primero;320;1700;47755
A. Lange & Söhne;117;1701;351780
Bell & Ross BR 03-92 Steel;152;1701;8000
Rolex Daytona;5933;1704;1209593
Carl F. Bucherer Manero;66;1708;77091
Oris Big Crown 1917 Limited Edition;4;1713;2400
Cartier Pasha Seatimer;117;1722;32609
Cartier Santos Demoiselle;117;1722;36295
Omega Dynamic Chronograph;36;1722;4172
Junghans Meister Pilot;15;1724;2552
Tudor Heritage Ranger;15;1724;4095
Franck Muller Heart;18;1725;42938
Piaget Dancer;61;1739;61492
Frederique Constant Ladies Automatic World Heart Federation;7;1742;3777
TAG Heuer Autavia;211;1745;19325
Cartier Tank Solo;163;1747;30711
Cartier Roadster;405;1750;48015
NOMOS Club Automat Datum;48;1750;3015
NOMOS Ahoi;29;1750;3815
Rolex Oyster Perpetual Date;1130;1750;55603
NOMOS Tangente Neomatik;160;1753;4411
Cuervo y Sobrinos Torpedo;4;1754;4699
Rolex Oyster;87;1754;20805
Breitling Superocean Steelfish;21;1760;8765
Meistersinger Salthora Meta;21;1760;3765
Frederique Constant Manufacture Worldtimer;82;1768;163651
NOMOS Tangomat;20;1768;2849
Ball Engineer M;24;1769;4005
Tudor Glamour Date-Day;30;1778;3700
Breitling Colt 44;15;1781;6141
Movado Faceto;1;1785;1785
NOMOS Club Campus Neomatik;44;1786;2858
NOMOS Orion Neomatik;75;1790;3703
TAG Heuer Monaco Calibre 6;8;1792;4746
Armand Nicolet TM7;1;1800;1800
Ball Engineer Hydrocarbon Nedu;16;1800;4790
Breitling Cockpit;34;1800;12843
Anonimo Dino Zei;3;1800;5584
IWC Pilot;142;1800;67000
Jaeger-LeCoultre Master Ultra Thin;65;1800;29148
Jaeger-LeCoultre Atmos;84;1800;38000
Meistersinger Singular;3;1800;4729
Piaget Protocole;61;1800;31100
Oris Aquis Chronograph;9;1800;3870
Oris Big Crown X1;6;1800;2567
Zenith El Primero Chronograph;94;1800;15780
Breitling Chronomat Colt;34;1805;3518
Breitling Headwind;11;1809;4244
Graham Mercedes GP;3;1809;3050
NOMOS Orion Datum;13;1813;2786
Union Glashütte Belisar;9;1813;2650
Ludovic Ballouard;1;1814;1814
Mühle Glashütte Seebataillon GMT;8;1815;3963
Breitling Avenger Skyland;35;1817;4993
Frederique Constant Manufacture Zodiac;7;1837;2517
Laco Las Vegas;1;1837;1837
Jaeger-LeCoultre Master Control Date;49;1840;13836
B.R.M V6-44;41;1850;7510
Eberhard & Co. Scafograf 300;35;1850;6571
Graham;62;1850;78168
Fortis B-42 Stratoliner;2;1850;2233
Omega Speedsonic;14;1850;3695
Oris El Hierro Limited Edition;1;1850;1850
Bell & Ross BR 01-94 Chronographe;31;1857;7706
TAG Heuer Carrera Calibre HEUER 01;216;1859;10944
Bell & Ross BR 03-92 Ceramic;104;1860;4623
Breitling Avenger;492;1861;21780
Milus Tirion;6;1861;8841
Omega Seamaster 1948;18;1861;22778
TAG Heuer Monaco;364;1861;45000
Zenith Elite Dual Time;11;1866;7932
Oris Big Crown ProPilot Altimeter;8;1870;6149
Bedat & Co Nº2;3;1875;9730
Glashütte Original Senator Automatic;19;1875;14462
Richard Mille;195;1877;6253858
Blancpain Villeret;474;1890;243060
Mühle Glashütte Terranaut I Trail;2;1890;2571
Oris Big Crown ProPilot Worldtimer;20;1890;3422
Omega Speedmaster Reduced;361;1891;9750
Ball Engineer Hydrocarbon Spacemaster;5;1893;2966
Breitling Blackbird;66;1896;11190
Breitling Galactic 36;39;1896;13627
IWC Pilot Chronograph;473;1896;26941
Seiko Galante;44;1896;11845
Sinn 6100;5;1896;9650
Breitling Aviator 8;294;1897;22486
Breitling Endurance Pro;331;1897;4255
Anonimo Wayfarer;2;1898;2355
Bell & Ross BR 03-94 Chronographe;130;1900;7307
B.R.M;117;1900;109825
Chronoswiss Timemaster;47;1900;10833
Graham Silverstone;48;1900;33502
Hublot Classic Fusion;1515;1900;185000
NOMOS Metro 38 Datum;24;1900;2735
Union Glashütte Sirona;2;1900;3983
Ulysse Nardin Michelangelo;47;1900;27913
Omega De Ville X2;4;1905;4200
Bremont;54;1936;21702
Oris ProDiver Chronograph;3;1936;3713
NOMOS Club Datum;5;1943;3450
Breitling Superocean Chronograph II;55;1949;12599
Breitling Astromat;8;1950;6699
Breitling Galactic 32;23;1950;19487
Chronoswiss Orea;5;1950;4461
Franck Muller Casablanca;188;1950;37225
IWC Ingenieur Automatic;110;1950;17673
NOMOS Tangomat Datum;13;1950;2848
Oris Raid;6;1950;3200
Tonino Lamborghini 1947;2;1950;1990
ZRC;77;1950;20000
Tudor Submariner;226;1950;90000
Union Glashütte 1893;18;1950;10750
Grand Seiko Elegance Collection;510;1952;47419
Breitling Galactic 30;10;1953;5441
Breitling Shadow Flyback;2;1955;3538
NOMOS Ahoi Atlantik;7;1956;3394
Breitling Chrono Cockpit;36;1961;9693
Tudor Black Bay 36;52;1980;3980
Tudor Black Bay;866;1982;52788
Breitling Superocean 42;212;1990;6695
Oris Artix;2;1990;2259
Sinn 144;5;1990;3650
Tudor Grantour Date;9;1990;3239
Tudor Glamour Double Date;43;1990;4578
Zenith Elite Ultra Thin;63;1990;18883
Breitling Airwolf;15;1992;3925
Corum Admiral's Cup Legend 42;64;1992;32874
Corum Admiral's Cup Competition 48;34;1992;10410
Graham Chronofighter 1695;14;1992;7259
Jorg Hysek Abyss;13;1995;19255
Bulgari Sotirio;26;1997;16500
Zenith New Vintage 1965;1;1997;1997
Breitling Avenger Seawolf;96;1999;8097
Breitling Colt 36;6;1999;4466
Eterna Super Kontiki Limited Edition 1973;1;2000;2000
Jaeger-LeCoultre Odysseus;10;2000;15414
Junghans Meister Agenda;6;2000;2095
Rolex Lady-Datejust;3988;2000;798000
De Grisogono;32;2005;36000
Carl F. Bucherer Pathos;7;2010;6990
Sinn 140;10;2016;6175
Tudor Black Bay 41;108;2033;6695
Breitling Galactic;28;2038;37188
Piaget Possession;84;2040;65958
Breitling Crosswind Racing;55;2047;19780
Breitling Superocean 44;247;2047;11880
Grand Seiko Sport Collection;395;2047;61422
Graham Chronofighter;52;2047;18652
Meistersinger Unomatik;2;2047;2150
NOMOS Ludwig Neomatik;26;2047;4161
Bell & Ross BR 01-96 Grande Date;6;2064;5751
Graham Chronofighter Oversize;68;2064;15020
Sinn 756 / 757;9;2064;2979
Omega De Ville Hour Vision;198;2066;39720
Breitling Superocean II 42;24;2070;5599
Sinn 956;1;2081;2081
Ball Engineer Master II Skindiver;11;2084;3700
Damasko DC 57;2;2088;2457
Sinn U2;2;2089;3146
Laco Kiel;66;2090;3071
NOMOS Tangomat Ruthenium;18;2090;3501
Cartier Ronde Croisière de Cartier;96;2094;5896
TAG Heuer Carrera Calibre 17;33;2094;6546
Romain Jerome Moon-DNA;57;2094;82194
Frederique Constant Manufacture Heart Beat;6;2097;4669
Oris Carl Brashear;37;2098;4690
Rainer Brand;9;2098;5500
TAG Heuer Targa Florio;5;2099;2575
Cartier La Dona de Cartier;44;2100;26791
Corum Admiral's Cup GMT 44;6;2100;5268
Breitling Transocean Day & Date;20;2100;13345
Ebel 1911 BTR;19;2100;21115
NOMOS Tangente Gangreserve;13;2100;3207
Perrelet Classic Double Rotor;2;2100;4650
Rolex Oyster Perpetual 31;625;2100;26950
Tudor Grantour;3;2100;2750
Itay Noy;5;2106;4889
Ulysse Nardin Classico;48;2106;34865
Breitling Superocean 36;89;2107;5900
Breitling Colt Chronograph II;8;2112;5595
Oris Miles;1;2116;2116
NOMOS Minimatik;20;2130;3135
Tiffany CT60;10;2142;3984
Carlo Ferrara;7;2147;17812
Cuervo y Sobrinos Robusto;15;2150;6900
Mühle Glashütte S.A.R. Flieger-Chronograph;12;2150;4633
Baume & Mercier William Baume;2;2164;9558
Breitling Chronomat Evolution;187;2167;27919
Montblanc Princess Grace De Monaco;15;2167;9518
Zenith El Primero Chronomaster Lady;10;2167;14677
Longines Présence Heritage;15;2172;4901
Perrelet Turbine XL;21;2187;5400
Rolex Oyster Perpetual 34;611;2187;111668
Breitling B-2;16;2190;3908
Chronoswiss Cabrio;2;2190;5813
Sinn U212;3;2190;3500
NOMOS Metro Neomatik;88;2199;7623
Sinn 142;9;2199;4700
Bell & Ross BR 03-96 Grande Date;3;2200;2415
Breitling Navitimer 8;142;2200;17160
NOMOS Tangomat GMT;13;2200;4129
Omega Speedmaster Mark IV;39;2200;5995
Tudor Heritage Advisor;13;2200;7444
Porsche Design Diver;8;2219;5500
Jaeger-LeCoultre Master Control;59;2222;21064
Ball Engineer II Magneto S;2;2228;2786
Christofle;1;2228;2228
Tutima Valeo;2;2228;7500
Maurice Lacroix Masterpiece Squelette;46;2230;14393
U-Boat Chimera;60;2233;9066
Breitling Avenger II GMT;28;2234;8097
Oris Aquis Titan Chronograph;2;2234;2456
Richard Mille RM 011;191;2234;1099924
Chronoswiss Régulateur;69;2244;29280
Omega Speedmaster Ladies Chronograph;40;2244;21426
Sinn 157;12;2245;5900
Dewitt;20;2250;531990
Tudor Grantour Chrono;9;2250;3500
Bremont Solo;11;2253;5161
Mühle Glashütte Marinus;1;2258;2258
Omega Speedmaster Racing;488;2274;29859
Breitling Avenger Blackbird;13;2275;17596
Martin Braun;15;2280;16565
Vulcain Aviator;14;2281;28701
Franc Vila;48;2287;94395
Corum Admiral's Cup Challenger;42;2289;30838
Cartier Ballon Bleu 28mm;216;2289;33224
Montblanc Villeret;8;2291;68000
Mühle Glashütte 29er Chronograph;24;2293;3025
Sinn 903;12;2294;6190
Clerc Hydroscaph H1 Chronometer;18;2300;5795
Cartier Tank Américaine;483;2300;64989
Angular Momentum;19;2310;54316
Breitling Avenger II Seawolf;25;2324;3908
Tudor Sport Aeronaut;6;2326;2999
Breitling Superocean II 44;19;2331;4488
Franck Muller Vanguard;517;2331;151999
Vulcain Anniversary Heart;5;2331;4532
Omega Speedmaster Mark II;111;2339;12769
Breitling Hercules;9;2345;6589
Breitling Superocean Heritage 46;64;2346;5534
Breitling Superocean GMT;3;2350;3800
Piaget Gouverneur;28;2350;36760
Omega Speedmaster Professional Moonwatch;2088;2350;115950
Breitling Colt GMT+;4;2359;2580
Oris ProDiver Pointer Moon;1;2359;2359
NOMOS Metro Datum Gangreserve;16;2366;3853
Bell & Ross BR 03-97 Réserve de Marche;3;2375;2980
Revue Thommen Regulator;1;2376;2376
Jaeger-LeCoultre Reverso Dame;52;2377;13943
Longines Twenty-Four Hours;7;2390;3344
Sinn 358;4;2390;3850
Anonimo Cronoscopio;3;2395;2999
L'Epée;5;2399;27273
NOMOS Zürich Datum;18;2399;3766
Chopard Grand Prix de Monaco Historique;67;2400;14378
Ebel 1911 Tekton;8;2400;6446
U-Boat U-42;7;2400;5020
Tudor Sport Chronograph;13;2400;5583
Tudor Black Bay Fifty-Eight;552;2400;17521
Rolex Prince;42;2401;49736
Chronoswiss Classic;10;2407;8878
Fortis B-42 Monolith;2;2410;2900
NOMOS Zürich;26;2413;10237
Omega Speedmaster Mark III;30;2413;4899
Armand Nicolet LS8;1;2426;2426
Omega Seamaster Railmaster;231;2429;27500
Omega Constellation Men;198;2429;37985
Breitling Super Avenger;153;2431;13958
Franck Muller Color Dreams;69;2439;82305
Dodane;8;2440;12340
Ming;68;2440;54076
Breitling Avenger II;45;2447;8097
Jaeger-LeCoultre Reverso;308;2450;67155
Breitling Galactic 41;25;2455;7140
Perrelet Turbine;31;2456;7817
Bremont ALT1-C Classic;22;2457;8072
Bell & Ross BR 01-97 Réserve de Marche;4;2462;9492
Breitling Aerospace EVO;45;2463;8933
Ikepod Isopode;3;2463;3312
NOMOS Tetra Neomatik;24;2470;3911
NOMOS Ahoi Neomatik;34;2471;3811
Chanel Boy-Friend;134;2472;35904
Piaget Altiplano;257;2479;150183
Franck Muller Master Square;71;2480;37970
Cartier Clé de Cartier;136;2490;48691
Pierre Kunz;68;2490;64519
Rolex Submariner Date;4582;2490;446704
Mühle Glashütte Germanika;2;2495;2495
Graham Swordfish;22;2497;12061
Jaermann & Stübi;9;2498;8344
Boegli;6;2500;4255
Breitling Chrono-Matic;82;2500;20448
Bulgari Parentesi;10;2500;19543
Breitling Superocean Heritage;311;2500;37970
Corum Admiral's Cup Seafender Tides 48;15;2500;69900
IWC Portofino Hand-Wound;163;2500;52900
Maurice Lacroix Pontos S Supercharged;3;2500;3347
Paul Picot Technograph;15;2500;75600
Ulysse Nardin Marine;68;2500;19878
Tudor Chronautic;9;2500;3826
Zenith Captain Central Second;19;2500;10525
B.R.M V12-44;39;2503;20422
Rolex Air King;1181;2503;33122
Corum Heritage;25;2507;74220
IWC Aquatimer Automatic;106;2513;17882
Bremont MB;21;2522;7619
Breitling Montbrillant;76;2550;14000
Omega Museum;25;2550;22900
NOMOS Ahoi Atlantik Datum;5;2550;3376
Jorg Hysek V-King;2;2556;3000
Ball Engineer Master II DLC;1;2559;2559
Breitling Skyracer;19;2595;5100
Milus Herios;8;2599;38752
Zenith Captain Power Reserve;6;2599;17017
Bell & Ross BR 01;20;2600;52348
Breitling Superocean Heritage 42;69;2600;9157
Damasko DC 56;1;2600;2600
Breitling Chronospace Military;12;2609;5147
Tudor Black Bay Bronze;151;2609;6310
Breitling Superocean Heritage Chronograph;144;2652;37225
Daniel Roth;77;2667;96426
IWC Portuguese;73;2679;42000
NOMOS Ahoi Datum;10;2679;5204
Breitling Chrono Galactic;5;2690;15055
Cartier Ronde Louis Cartier;91;2690;42381
Bremont Supermarine;30;2690;7679
IWC Ingenieur AMG;51;2690;11166
Jaeger-LeCoultre Reverso Classique;151;2692;16638
Cartier Ballon Bleu 42mm;266;2693;98226
IWC Pilot Spitfire UTC;26;2694;11490
Tudor Black Bay S&G;126;2697;6920
TAG Heuer Carrera Calibre 36;33;2698;6666
Tudor Heritage Chrono;54;2698;5578
Piaget Upstream;8;2700;8990
Ulysse Nardin Diver;12;2700;18100
Tudor Fastrider Chrono;20;2700;4890
Bell & Ross BR V3;19;2726;4358
Jaeger-LeCoultre Reverso Squadra World Chronograph;6;2730;27990
Bell & Ross BR 05;358;2733;28698
Perrelet Turbine Pilot;12;2735;5022
Audemars Piguet Huitième;40;2750;32540
Breitling Superocean Chronograph M2000;8;2750;6449
Cartier Ballon Bleu 36mm;275;2751;82440
Sinn 156;11;2756;5500
Tudor Black Bay Dark;46;2757;6696
Graham Chronofighter R.A.C.;19;2775;20400
Ulysse Nardin San Marco Big Date;5;2780;12619
Oris Tubbataha Limited Edition;1;2786;2786
Artya;22;2787;43678
Bell & Ross BR 03-51 GMT;5;2787;5729
Rolex Datejust 31;2624;2791;88191
Tudor Black Bay GMT;295;2791;7000
Breitling Bentley Motors;72;2792;44999
Breitling Superocean 46;90;2792;7910
Tudor Iconaut;6;2792;3800
Tudor Grantour Chrono Fly-Back;17;2795;8927
Girard Perregaux WW.TC;52;2799;29111
Vacheron Constantin Patrimony;405;2799;446425
Bremont ALT1-Z Zulu;7;2814;5025
IWC Aquatimer Automatic 2000;58;2814;8164
Omega Speedmaster Broad Arrow;152;2846;124831
Tudor Pelagos;334;2846;15018
Snyper;4;2847;8376
Union Glashütte Averin;6;2847;3731
Corum Admiral's Cup Legend 38;23;2850;12992
Sinn 6000;5;2863;7074
Breitling Super Avenger II;54;2866;11261
Breitling Chronomat 44;253;2871;32572
Cartier Santos 100;314;2871;94871
Piaget Limelight;131;2875;71864
DeLaneau;12;2880;77422
Breitling Transocean Chronograph 1915;10;2884;12303
Meistersinger Lunascope;18;2885;4350
Romain Jerome;37;2885;42013
Sinn 900;6;2890;4523
Chronoswiss Imperia;5;2893;8750
Audemars Piguet Royal Oak;1118;2896;1775649
Breitling Superocean Heritage II 42;196;2897;6701
Sinn EZM 13;1;2899;2899
Audemars Piguet Promesse;20;2900;13401
Blancpain Léman Ultra Slim;18;2900;12370
Breitling Crosswind Special;20;2900;29929
Breitling Old Navitimer;69;2900;31828
Glashütte Original Pavonina;89;2900;31548
Zenith Elite Power Reserve;17;2900;11112
Bremont Boeing;12;2904;5476
Hermès Dressage;9;2912;22334
Zenith El Primero Chronomaster;417;2913;24966
Cartier Tank Anglaise;125;2938;51300
Corum Admiral's Cup Competition 40;13;2940;15000
Meistersinger Circularis;19;2946;4623
Breitling Avenger Blackbird 44;14;2950;10846
Jaeger-LeCoultre Master Compressor Chronograph;38;2950;18427
Arnold & Son;48;2952;90000
Rolex Datejust 36;8154;2957;111675
Audemars Piguet Code 11.59;193;2965;264641
Breitling Emergency;49;2966;83756
Breitling Superocean Heritage II 46;143;2990;6800
Chopard Your Hour;31;2990;33502
NOMOS Autobahn;38;2990;5444
Corum Admiral's Cup Seafender Centro;9;2995;6699
Blancpain Le Brassus;19;2999;85507
Breitling Chronomat 36;153;3000;24050
Blancpain Villeret Moonphase;33;3000;144413
Breitling Avenger Bandit;10;3000;5305
Aristo Navigator;1;3000;3000
Audemars Piguet Jules Audemars;155;3000;305956
Omega Seamaster Planet Ocean Chronograph;361;3000;31260
JeanRichard Paramount;7;3015;18595
Parmigiani Fleurier;25;3018;94925
Bulgari Serpenti;164;3021;67006
Bremont Jaguar;6;3025;6645
Dewitt Academia;85;3025;149294
TAG Heuer Monaco Calibre 12;71;3026;10237
Zenith El Primero Synopsis;7;3034;9400
Breitling Superocean Chronograph Steelfish;2;3039;3350
Ulysse Nardin Executive Dual Time Lady;8;3039;14938
Zenith Pilot Type 20 Extra Special;85;3044;7957
Ulysse Nardin Marine Chronometer 41mm;27;3050;29175
Franck Muller Master Banker;72;3066;24513
Hanhart Racemaster;1;3066;3066
Hublot Big Bang;853;3098;443232
Corum Admiral's Cup Seafender Deep Hull;11;3099;8355
De Grisogono Tondo By Night;2;3100;3494
Hublot Super B;23;3100;13934
Ulysse Nardin Dual Time;52;3100;21618
Tudor Heritage Chrono Blue;22;3102;5701
Breitling Bentley Flying B;41;3104;61422
Oris Big Crown ProPilot Calibre 111;10;3104;4704
Panerai Radiomir Black Seal;107;3104;12736
B.R.M V8-44;5;3110;9990
Zenith Elite Chronograph Classic;12;3112;10051
Perrelet Skeleton Chrono;6;3118;10900
Rolex Air King Date;21;3118;10185
Bremont U-2;3;3127;6263
Cartier Calibre de Cartier;152;3129;94925
Breitling Navitimer GMT;29;3129;14512
Breitling Chronomat GMT;67;3154;7623
Oris Big Crown ProPilot Chronograph GMT;1;3167;3167
Breitling Galactic Unitime;33;3174;7594
NOMOS Metro;7;3175;6170
Blancpain Villeret Ultra-Plate;345;3190;164541
Audemars Piguet Royal Oak Offshore;247;3192;1596967
Chronoswiss Delphis;7;3199;13900
Ennebi;15;3200;5578
Omega Speedmaster Spacemaster Z-33;10;3200;5871
IWC Portuguese Hand-Wound;82;3201;30147
Oris Artelier Calibre 113;3;3202;4796
Cvstos Challenge;120;3210;43180
Breitling Chronomat 38;15;3213;10200
Lebeau-Courally;6;3250;75000
IWC Portuguese Chronograph;615;3257;22944
Panerai Radiomir;121;3257;84000
Vacheron Constantin Malte;83;3257;171702
Oris Artelier Translucent Skeleton;1;3279;3279
Rolex Cellini Time;30;3279;22900
IWC Aquatimer Chronograph;213;3285;18088
Perrelet Turbine Diver;4;3287;5578
Bremont ALT1-B;2;3294;3519
Tudor Glamour;1;3294;3294
Jaeger-LeCoultre Master Compressor Lady Automatic;13;3300;6699
Hublot Classic Fusion Quartz;208;3300;25020
Ulysse Nardin Marine Chronograph;34;3300;25800
Corum Admiral's Cup Leap Second 48;6;3303;25300
Romain Jerome Titanic-DNA;34;3303;72589
Ulysse Nardin Maxi Marine Diver;62;3304;83757
Cvstos Challenge-R;14;3312;27500
IWC Pilot Spitfire Chronograph;147;3312;24792
IWC Pilot’s Watch Automatic 36;26;3320;5873
Rolex Cellini Danaos;29;3320;9144
Ulysse Nardin Marine Chronometer 43mm;22;3320;18985
Breitling Montbrillant Datora;35;3342;22207
Breitling Chronomat 41;40;3345;23653
Cartier Santos Dumont;203;3345;53492
Vacheron Constantin Harmony;24;3345;75000
Linde Werdelin;8;3349;6800
Bulgari Octo;484;3350;203999
Cartier Tank MC;63;3350;52100
Chronoswiss Chronoscope;18;3350;20093
Ikepod Hemipode;7;3350;10944
Rolex Chronograph;91;3360;1001221
Chronoswiss Tora;3;3380;4650
Franck Muller Conquistador GPG;30;3384;44112
Damasko;1;3394;3394
Glashütte Original Lady Serenade;71;3394;18888
Chronoswiss Chronometer Chronograph;3;3400;7138
Cartier Diabolo;27;3400;15000
Ulysse Nardin Lady Diver;29;3400;31523
Breitling Navitimer 01;39;3402;32000
Breitling Transocean Chronograph 38;7;3409;8561
Graham Silverstone RS;18;3409;6852
Breitling Navitimer World;64;3432;15635
Breitling Chronomat 44 GMT;26;3443;10051
Tudor Tiger Prince Date;35;3444;14462
Breitling Bentley GMT;20;3449;21419
De Grisogono Instrumentino;14;3450;41428
Corum Admiral's Cup AC-One;46;3461;58853
Zenith Captain Moonphase;11;3461;20421
Panerai Luminor Marina;332;3500;42995
Tudor Fastrider Black Shield;26;3500;6924
Audemars Piguet Royal Oak Offshore Diver;319;3513;100507
Panerai Luminor Base Logo;64;3513;6900
Tudor North Flag;23;3513;5520
Jaeger-LeCoultre Reverso Squadra;5;3518;19990
Breitling Cockpit B50;13;3519;19250
Chopard Superfast;66;3550;23225
Glashütte Original Sixties Panorama Date;44;3555;14685
Zenith Elite 6150;14;3562;11498
Omega Seamaster Apnea;4;3568;7550
Engelhardt;1;3574;3574
IWC Aquatimer;15;3574;24905
Tudor Black Bay Chrono;406;3574;10194
Panerai Ferrari;56;3576;28027
Breitling Chrono-Matic 49;14;3599;12295
Breitling Bentley GT;39;3606;22335
Panerai Luminor Marina Automatic;171;3621;22950
Montblanc Nicolas Rieussec;60;3622;27361
Panerai Luminor Power Reserve;69;3629;11965
Linde Werdelin 3 Timer;1;3636;3636
Breitling Exospace B55 Connected;23;3650;8286
Cartier Ballon Bleu 33mm;177;3650;65880
Chronoswiss Chronograph Rattrapante;5;3650;10110
Patek Philippe Golden Ellipse;286;3650;114000
Vacheron Constantin Historiques;171;3650;168455
Breitling Avenger Hurricane;25;3676;8955
Tudor Fastrider;1;3680;3680
Vacheron Constantin Overseas;527;3680;358893
NOMOS Zürich Weltzeit;27;3694;7445
Breitling Superocean 48;27;3700;6142
Breitling Navitimer Cosmonaute;58;3700;28000
Glashütte Original Senator Hand Date;10;3700;5910
Zenith Pilot Type 20 GMT;20;3700;8157
Blancpain Fifty Fathoms Bathyscaphe;491;3708;32335
Vulcain Nautical;10;3719;18000
Carl F. Bucherer Alacria;7;3720;6876
Oris Artelier Calibre 112;12;3720;8314
Zenith El Primero 36'000 VpH;33;3722;7700
Glashütte Original Senator Panorama Date Moon Phase;12;3723;13000
Rolex Datejust Oysterquartz;215;3723;82114
Panerai Radiomir 3 Days 47mm;75;3735;9258
Panerai Radiomir 1940 3 Days;72;3737;22890
Breitling Montbrillant Olympus;11;3740;14560
TAG Heuer Carrera Calibre 18;4;3742;5252
Breitling Chrono-Matic 1461;8;3750;7593
Panerai Luminor Base 8 Days;38;3781;7259
Perrelet Turbine Chrono;5;3781;4800
Omega Speedmaster Skywalker X-33;37;3790;6908
TAG Heuer Carrera Porsche Chronograph Special Edition;91;3790;23206
Ulysse Nardin Marine Torpilleur;62;3790;23333
DeLaneau First Lady;2;3791;5999
Bremont ALT1-WT World Timer;8;3794;5166
Hublot Classic Fusion Blue;537;3812;82605
Meistersinger Singulator;1;3812;3812
Breitling Superocean Heritage II Chronograph;188;3813;8300
Panerai Radiomir 8 Days;85;3825;24848
Panerai Luminor Base;67;3837;46917
Panerai Radiomir Black Seal 3 Days Automatic;24;3840;7806
Breitling Transocean 38;3;3850;5132
Glashütte Original Senator Karrée;23;3850;35900
Hentschel Hamburg;2;3850;8400
Vangarde;2;3850;3850
Breguet Classique;825;3853;150751
Jaeger-LeCoultre Grande Reverso Lady Ultra Thin;14;3855;16340
Oris Artelier Calibre 111;19;3862;13239
Breitling Montbrillant Légende;20;3865;10499
Glashütte Original Senator Chronograph;7;3878;11633
Breitling for Bentley;45;3890;65000
Breitling Chronomat 44 Airborne;16;3895;7002
Nouvelle Horlogerie Calabrese (NHC);3;3895;6500
Panerai Luminor GMT Automatic;93;3896;19873
Roger Dubuis;64;3896;196523
Ulysse Nardin Executive Dual Time;48;3900;20600
Ball Trainmaster Worldtime;2;3903;4234
Franck Muller Conquistador Cortez;61;3909;44615
Parmigiani Fleurier Kalpa;70;3909;179073
Rolex Datejust Turn-O-Graph;366;3909;25500
Zenith El Primero Stratos Flyback;27;3911;34011
TAG Heuer Silverstone;3;3912;5975
Breitling Bentley 6.75;42;3924;27137
Omega Constellation Petite Seconde;79;3934;23981
Jaeger-LeCoultre Reverso Classic Small;77;3937;24140
Breitling Bentley Barnato;27;3950;19654
Breitling Chronomat 44 Raven;14;3950;7203
Panerai Luminor Marina 1950 3 Days Automatic;232;3964;24010
Porsche Design Worldtimer;6;3980;8067
Panerai Luminor Marina 8 Days;40;3983;24558
Blancpain Léman Fly-Back;26;3990;45000
Breitling Navitimer Heritage;43;3990;6533
Omega Speedmaster Professional Moonwatch Moonphase;271;3990;37421
Parmigiani Fleurier Tonda;161;3990;102500
Cartier Tank Louis Cartier;152;3999;43080
Breitling Chronoliner;23;4000;22314
Breitling Galactic 44;3;4000;5020
Glashütte Original Senator;26;4000;39480
Glashütte Original Senator Power Reserve Display;6;4000;7500
Breguet;111;4044;170766
Tissot Bellflower;1;4047;4047
Quinting;9;4067;44029
Valbray;3;4067;6000
Glashütte Original Sport Evolution Chronograph;3;4068;6750
Glashütte Original Senator Navigator Automatic;3;4076;5490
Ulysse Nardin Quadrato Dual Time;9;4076;18500
Thomas Ninchritz;2;4083;6600
Omega Speedmaster '57;208;4095;18142
Ulysse Nardin Lady Diver Starry Night;3;4100;8600
